ALREADY_COVERED | deepseek/deepseek-v4-pro |  | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/014-manual-testing-playbook-validation
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/015-mcp-server-mk-skill-advisor-rename
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/018-fix-followup-p2-findings-for-package-extraction
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/020-spec-kit-codegraph-decoupling
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/019-spec-kit-advisor-decoupling
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/022-plugin-bridge-unit-test-isolation
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/021-codegraph-rpc-surface
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=8 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/016-fix-deep-review-p2-findings-for-package-extraction
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/023-subprocess-environment-whitelist
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/024-dfidf-cold-start-cache
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/026-sk-code-readme-audit
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/028-generated-js-declaration-alignment
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/027-typescript-header-normalization
