scenario	verdict	key_metric	detail
401	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/401.log.
402	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/402.log.
403	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/403.log.
404	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/404.log.
405	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/405.log.
406	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/406.log.
407	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/407.log.
408	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/408.log.
409	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/409.log.
410	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/410.log.
411	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/411.log.
412	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/412.log.
413	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/413.log.
414	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/414.log.
415	FAIL	codex exec app-server initialization failed	Child codex exec exited before reading the scenario because the in-process app-server client could not initialize under the current sandbox. Inspect /Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/_sandbox/24--local-llm-query-intelligence/evidence/per-scenario-logs-post-wave/415.log.
