path,fileClass,skill,anchor,anchorSource,realEditCount,derivedVersion,action
.skilled/skills/cli-external-orchestration/README.md,readme,cli-external-orchestration,1.7.0.0,"max(fm,changelog)",22,1.7.0.22,compute
.skilled/skills/cli-external-orchestration/SKILL.md,skill-md,cli-external-orchestration,1.7.0.0,"max(fm,changelog)",,1.7.0.0,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/README.md,readme,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",43,1.5.0.43,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/SKILL.md,skill-md,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",,1.5.0.0,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/assets/prompt-quality-card.md,asset,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",22,1.5.0.22,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/assets/prompt-templates.md,asset,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",28,1.5.0.28,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/context-agent-codebase-exploration.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",16,1.5.0.16,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/debug-agent-fresh-perspective-root-cause.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",12,1.5.0.12,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/handover-agent-context-transfer.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",18,1.5.0.18,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/multi-ai-council-multi-strategy-planning.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",9,1.5.0.9,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/orchestrate-agent-multi-step.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",18,1.5.0.18,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/research-agent-investigation.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",14,1.5.0.14,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/review-agent-security-audit.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",14,1.5.0.14,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/agent-routing/speckit-agent-spec-folder.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",13,1.5.0.13,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/cli-invocation/base-non-interactive-invocation.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",14,1.5.0.14,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/cli-invocation/default-model-selection-sonnet.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",13,1.5.0.13,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/cli-invocation/output-format-text-vs-json.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",12,1.5.0.12,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/cli-invocation/stream-json-incremental-output.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",13,1.5.0.13,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/cost-and-background/background-execution.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",17,1.5.0.17,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/cost-and-background/max-budget-usd-cap.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",17,1.5.0.17,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/git-preflight-advisory/git-preflight-advisory.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",4,1.5.0.4,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/goal-hook/goal-hook.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",12,1.5.0.12,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/integration-patterns/generate-review-fix-cycle.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",12,1.5.0.12,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/integration-patterns/structured-output-with-json-schema.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",15,1.5.0.15,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/agent-delegation.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/code-editing.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/deep-reasoning.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/holdout-editing.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/holdout-reasoning.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/negative.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/patterns.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/review.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/structured-output.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/intra-routing-recall/templates.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/manual-testing-playbook.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",36,1.5.0.36,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/permission-modes/accept-edits-auto-approve-writes-sandboxed.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",12,1.5.0.12,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/permission-modes/bypass-permissions-guard-rail-sandboxed.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",19,1.5.0.19,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/permission-modes/plan-mode-read-only-enforcement.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",13,1.5.0.13,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/prompt-templates/clear-quality-card-5-check.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",18,1.5.0.18,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/prompt-templates/prompt-template-usage-from-assets.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",16,1.5.0.16,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/reasoning-and-models/haiku-fast-classification.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",14,1.5.0.14,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/reasoning-and-models/opus-extended-thinking.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",14,1.5.0.14,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/reasoning-and-models/sonnet-balanced-default.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",14,1.5.0.14,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/session-continuity/continue-previous-conversation.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",16,1.5.0.16,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/session-continuity/resume-specific-session-by-id.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",12,1.5.0.12,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/auth-failure.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/budget-rejection.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/child-spec-gate.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",8,1.5.0.8,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/model-or-balance.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/node-modules-integrity.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/orphan-cleanup.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/partial-lineage-death.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/rate-limit.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/sandbox-permission.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/self-invocation.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/stdin-hang.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/timeout.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/transport-missing.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook/stress/worktree-collision.md,playbook,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",7,1.5.0.7,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/references/agent-delegation.md,reference,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",24,1.5.0.24,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/references/claude-tools.md,reference,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",16,1.5.0.16,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/references/cli-reference.md,reference,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",10,1.5.0.10,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/references/integration-patterns.md,reference,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",10,1.5.0.10,compute
.skilled/skills/cli-external-orchestration/cli-claude-code/references/providers-and-models.md,reference,cli-external-orchestration/cli-claude-code,1.5.0.0,"max(fm,changelog)",6,1.5.0.6,compute
.skilled/skills/cli-external-orchestration/cli-codex/README.md,readme,cli-external-orchestration/cli-codex,1.9.0.0,"max(fm,changelog)",41,1.9.0.41,compute
.skilled/skills/cli-external-orchestration/cli-codex/SKILL.md,skill-md,cli-external-orchestration/cli-codex,1.9.0.0,"max(fm,changelog)",,1.9.0.0,compute
.skilled/skills/cli-external-orchestration/cli-codex/assets/prompt-quality-card.md,asset,cli-external-orchestration/cli-codex,1.9.0.0,"max(fm,changelog)",21,1.9.0.21,compute
.skilled/skills/cli-external-orchestration/cli-codex/assets/prompt-templates.md,asset,cli-external-orchestration/cli-codex,1.9.0.0,"max(fm,changelog)",33,1.9.0.33,compute
.skilled/skills/cli-external-orchestration/cli-codex/manual-testing-playbook/agent-routing/context-profile.md,playbook,cli-external-orchestration/cli-codex,1.9.0.0,"max(fm,changelog)",16,1.9.0.16,compute
