bar-columns.html                         DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
bar-line-composed.html                   DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
bar-rows.html                            DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
box-plot.html                            DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
calendar-grid.html                       DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
calls-by-day-and-hour.html               DOC scrollWidth=571 clientWidth=500 overflow=71 | TABLE width=522 right=571 scrollW=522 | FIGURE clientW=402 scrollW=480 pans=true
candlestick.html                         DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
daily-line.html                          DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
daily-range.html                         DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
distribution-strip.html                  DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
grouped-bars.html                        DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
heat-matrix.html                         DOC scrollWidth=633 clientWidth=500 overflow=133 | TABLE width=584 right=633 scrollW=584 | FIGURE clientW=402 scrollW=480 pans=true
independent-percentages.html             DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
orders-after-the-price-change.html       DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
parallel-axes.html                       DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=430 right=479 scrollW=430 | FIGURE clientW=402 scrollW=480 pans=true
pick-times-by-depot.html                 DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
progress-single.html                     DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
scatter.html                             DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
stacked-area.html                        DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=415 right=464 scrollW=415 | FIGURE clientW=402 scrollW=480 pans=true
stacked-bars.html                        DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
staff-hours-by-service.html              DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
treemap.html                             DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
unit-grid.html                           DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
unit-ring.html                           DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
van-age-against-repair-cost.html         DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
waterfall.html                           DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
where-the-budget-went.html               DOC scrollWidth=500 clientWidth=500 overflow=0 | TABLE width=402 right=451 scrollW=402 | FIGURE clientW=402 scrollW=480 pans=true
