hub	signal	bucket	top	score	targets	engine_bucket	engine_targets	served	exit
sk-code	code work	DEFERRED	sk-code	0.787298		DEFER		compiled	0
sk-code	code surface detection	DEFERRED	sk-code	0.887748		DEFER		compiled	0
sk-code	webflow	RESOLVED	sk-code	0.618762	sk-code-webflow	ROUTE	sk-code-webflow	compiled	0
sk-code	frontend	RESOLVED	sk-code	0.663804	sk-code-webflow	ROUTE	sk-code-webflow	compiled	0
sk-code	cdn	RESOLVED	sk-code	0.644611	sk-code-webflow	ROUTE	sk-code-webflow	compiled	0
sk-code	browser test	RESOLVED	sk-code	0.749001	sk-code-webflow	ROUTE	sk-code-webflow	compiled	0
sk-code	opencode	RESOLVED	sk-code	0.741378	sk-code-opencode	ROUTE	sk-code-opencode	compiled	0
sk-code	system code	RESOLVED	sk-code	0.796545	sk-code-opencode	ROUTE	sk-code-opencode	compiled	0
sk-code	mcp	RESOLVED	sk-code	0.565661	sk-code-opencode	ROUTE	sk-code-opencode	compiled	0
sk-code	typescript	RESOLVED	sk-code	0.665277	sk-code-opencode	ROUTE	sk-code-opencode	compiled	0
sk-code	python	RESOLVED	sk-code	0.646893	sk-code-opencode	ROUTE	sk-code-opencode	compiled	0
sk-code	shell	RESOLVED	sk-code	0.538589	sk-code-opencode	ROUTE	sk-code-opencode	compiled	0
sk-code	jsonc	RESOLVED	sk-code	0.549852	sk-code-opencode	ROUTE	sk-code-opencode	compiled	0
sk-code	alignment verifier	RESOLVED	sk-code	0.61716	sk-code-quality	ROUTE	sk-code-quality	compiled	0
sk-code	motion.dev integration	RESOLVED	sk-code	0.79833	sk-code-webflow	ROUTE	sk-code-webflow	compiled	0
sk-code	motion-dev integration	RESOLVED	sk-code	0.799142	sk-code-webflow	ROUTE	sk-code-webflow	compiled	0
sk-code	motion_dev references	RESOLVED	sk-code	0.671389	sk-code-webflow	ROUTE	sk-code-webflow	compiled	0
