signal	hub	bucket	skillId	confidence	score	targets
create skill	sk-doc	RESOLVED	sk-doc	0.8468	0.608078	sk-create-skill
create parent skill hub	sk-doc	RESOLVED	sk-doc	0.95	0.845143	sk-create-skill-parent
create readme	sk-doc	RESOLVED	sk-doc	0.95	0.8384	sk-create-readme
write install guide	sk-doc	RESOLVED	sk-doc	0.95	0.828403	sk-create-readme
create agent	sk-doc	WRONG_HUB	create:agent	0.82	0.513333	
create command	sk-doc	RESOLVED	sk-doc	0.8829	0.675136	sk-create-command
create feature catalog	sk-doc	RESOLVED	sk-doc	0.95	0.828896	sk-create-feature-catalog
create manual testing playbook	sk-doc	RESOLVED	sk-doc	0.95	0.826512	sk-create-manual-testing-playbook
promote benchmark folder	sk-doc	RESOLVED	sk-doc	0.911	0.727438	sk-create-benchmark
create ascii flowchart	sk-doc	RESOLVED	sk-doc	0.95	0.828896	sk-create-diagram
create diagram	sk-doc	RESOLVED	sk-doc	0.8337	0.583704	sk-create-diagram
html svg diagram	sk-doc	RESOLVED	sk-doc	0.8962	0.7	sk-create-diagram
create a chart	sk-doc	RESOLVED	sk-doc	0.9154	0.735563	sk-create-chart
plot the data	sk-doc	RESOLVED	sk-doc	0.8653	0.642475	sk-create-chart
data visualization	sk-doc	RESOLVED	sk-doc	0.8778	0.665603	sk-create-chart
standalone html chart	sk-doc	RESOLVED	sk-doc	0.9059	0.717904	sk-create-chart
waterfall chart	sk-doc	RESOLVED	sk-doc	0.8778	0.665603	sk-create-chart
treemap	sk-doc	RESOLVED	sk-doc	0.82	0.463725	sk-create-chart
heatmap	sk-doc	RESOLVED	sk-doc	0.82	0.463725	sk-create-chart
box plot	sk-doc	RESOLVED	sk-doc	0.8778	0.665603	sk-create-chart
histogram	sk-doc	RESOLVED	sk-doc	0.82	0.463725	sk-create-chart
bar chart of	sk-doc	RESOLVED	sk-doc	0.8557	0.624571	sk-create-chart
line chart of	sk-doc	RESOLVED	sk-doc	0.86	0.632628	sk-create-chart
scatter plot of	sk-doc	RESOLVED	sk-doc	0.8557	0.624571	sk-create-chart
data visualisation	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-chart
data viz	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-chart
heat matrix	sk-doc	RESOLVED	sk-doc	0.8233	0.564324	sk-create-chart
heat map	sk-doc	RESOLVED	sk-doc	0.8233	0.564324	sk-create-chart
candlestick chart	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-chart
stacked area chart	sk-doc	RESOLVED	sk-doc	0.9059	0.717904	sk-create-chart
donut chart	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-chart
waffle chart	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-chart
parallel coordinates	sk-doc	RESOLVED	sk-doc	0.82	0.556267	sk-create-chart
chart catalog	sk-doc	RESOLVED	sk-doc	0.8778	0.665603	sk-create-chart
which chart type	sk-doc	RESOLVED	sk-doc	0.8557	0.624571	sk-create-chart
chart color system	sk-doc	RESOLVED	sk-doc	0.911	0.727438	sk-create-chart
create changelog	sk-doc	RESOLVED	sk-doc	0.8829	0.675136	sk-create-changelog
retire a repo rule	sk-doc	RESOLVED	sk-doc	0.95	0.809336	sk-create-repo-rule
add a project rule	sk-doc	RESOLVED	sk-doc	0.9155	0.735809	sk-create-repo-rule
create repo rule	sk-doc	RESOLVED	sk-doc	0.95	0.828896	sk-create-repo-rule
write a repo rule	sk-doc	RESOLVED	sk-doc	0.95	0.828403	sk-create-repo-rule
repo rule	sk-doc	RESOLVED	sk-doc	0.8778	0.665603	sk-create-repo-rule
add a repo rule	sk-doc	RESOLVED	sk-doc	0.95	0.819362	sk-create-repo-rule
create diff report	sk-doc	RESOLVED	sk-doc	0.925	0.753399	sk-create-diff
document before after review	sk-doc	WRONG_HUB	sk-code	0.9376	0.776858	
before after document diff	sk-doc	RESOLVED	sk-doc	0.95	0.810751	sk-create-diff
document change report	sk-doc	RESOLVED	sk-doc	0.922	0.747842	sk-create-diff
yaml frontmatter	sk-doc	RESOLVED	sk-doc	0.8778	0.665603	sk-create-frontmatter
frontmatter block	sk-doc	RESOLVED	sk-doc	0.8778	0.665603	sk-create-frontmatter
frontmatter field	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-frontmatter
description budget	sk-doc	RESOLVED	sk-doc	0.8832	0.675629	sk-create-frontmatter
4-part version	sk-doc	RESOLVED	sk-doc	0.9102	0.726029	sk-create-frontmatter
frontmatter versioning	sk-doc	RESOLVED	sk-doc	0.8778	0.665602	sk-create-frontmatter
frontmatter validation	sk-doc	RESOLVED	sk-doc	0.8394	0.594191	sk-create-frontmatter
validate document	sk-doc	RESOLVED	sk-doc	0.9405	0.782292	sk-create-quality-control
score document quality	sk-doc	RESOLVED	sk-doc	0.9391	0.77967	sk-create-quality-control
optimize documentation	sk-doc	RESOLVED	sk-doc	0.9424	0.785925	sk-create-quality-control
apply human voice	sk-doc	RESOLVED	sk-doc	0.95	0.819362	sk-create-with-human-voice
rewrite in human voice	sk-doc	RESOLVED	sk-doc	0.9155	0.735809	sk-create-with-human-voice
make this sound human	sk-doc	RESOLVED	sk-doc	0.95	0.819362	sk-create-with-human-voice
sounds ai-generated	sk-doc	RESOLVED	sk-doc	0.9102	0.726029	sk-create-with-human-voice
reads like ai wrote it	sk-doc	RESOLVED	sk-doc	0.8461	0.606667	sk-create-with-human-voice
remove ai tells	sk-doc	RESOLVED	sk-doc	0.9102	0.726029	sk-create-with-human-voice
human voice rules	sk-doc	RESOLVED	sk-doc	0.95	0.819362	sk-create-with-human-voice
voice pass	sk-doc	RESOLVED	sk-doc	0.8778	0.665602	sk-create-with-human-voice
scaffold a skill	sk-doc	RESOLVED	sk-doc	0.8319	0.580356	sk-create-skill
new skill	sk-doc	RESOLVED	sk-doc	0.82	0.529956	sk-create-skill
build a skill	sk-doc	RESOLVED	sk-doc	0.8319	0.580356	sk-create-skill
author a skill	sk-doc	RESOLVED	sk-doc	0.8363	0.588413	sk-create-skill
new agent	sk-doc	RESOLVED	sk-doc	0.82	0.462933	sk-create-agent
author an agent	sk-doc	RESOLVED	sk-doc	0.82	0.52139	sk-create-agent
new slash command	sk-doc	RESOLVED	sk-doc	0.9059	0.717904	sk-create-command
slash command	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-command
parent hub	sk-doc	RESOLVED	sk-doc	0.9049	0.716002	sk-create-skill-parent
skill hub	sk-doc	RESOLVED	sk-doc	0.82	0.54786	sk-create-skill-parent
new benchmark	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-benchmark
benchmark package	sk-doc	RESOLVED	sk-doc	0.8286	0.574171	sk-create-benchmark
before and after document	sk-doc	RESOLVED	sk-doc	0.9133	0.731728	sk-create-diff
document diff	sk-doc	RESOLVED	sk-doc	0.9354	0.772759	sk-create-diff
opencode skill	sk-doc	WRONG_HUB	sk-code	0.95	0.837137	
opencode agent	sk-doc	WRONG_HUB	sk-code	0.9015	0.709691	
opencode command	sk-doc	WRONG_HUB	sk-code	0.95	0.804943	
scaffold a new skill	sk-doc	RESOLVED	sk-doc	0.8821	0.67369	sk-create-skill
create a new skill	sk-doc	RESOLVED	sk-doc	0.901	0.708838	sk-create-skill
sk-doc	sk-doc	DEFERRED	sk-doc	0.8601	0.632695	
documentation hub	sk-doc	DEFERRED	sk-doc	0.95	0.828895	
create parent skill	sk-doc	RESOLVED	sk-doc	0.82	0.331809	sk-create-skill-parent
