hub	signal	bucket	top	score	targets
sk-doc	create skill	RESOLVED	sk-doc	0.607838	sk-create-skill
sk-doc	create parent skill hub	RESOLVED	sk-doc	0.844905	sk-create-skill-parent
sk-doc	create readme	RESOLVED	sk-doc	0.838172	sk-create-readme
sk-doc	write install guide	RESOLVED	sk-doc	0.828224	sk-create-readme
sk-doc	create agent	WRONG_HUB	create:agent	0.513333	
sk-doc	create command	RESOLVED	sk-doc	0.674957	sk-create-command
sk-doc	create feature catalog	RESOLVED	sk-doc	0.8287	sk-create-feature-catalog
sk-doc	create manual testing playbook	RESOLVED	sk-doc	0.826317	sk-create-manual-testing-playbook
sk-doc	promote benchmark folder	RESOLVED	sk-doc	0.727408	sk-create-benchmark
sk-doc	create ascii flowchart	RESOLVED	sk-doc	0.8287	sk-create-diagram
sk-doc	create diagram	RESOLVED	sk-doc	0.583675	sk-create-diagram
sk-doc	html svg diagram	RESOLVED	sk-doc	0.7	sk-create-diagram
sk-doc	create a chart	RESOLVED	sk-doc	0.735367	sk-create-chart
sk-doc	plot the data	RESOLVED	sk-doc	0.642417	sk-create-chart
sk-doc	data visualization	RESOLVED	sk-doc	0.665424	sk-create-chart
sk-doc	standalone html chart	RESOLVED	sk-doc	0.717875	sk-create-chart
sk-doc	waterfall chart	RESOLVED	sk-doc	0.665424	sk-create-chart
sk-doc	treemap	RESOLVED	sk-doc	0.4636	sk-create-chart
sk-doc	heatmap	RESOLVED	sk-doc	0.4636	sk-create-chart
sk-doc	box plot	RESOLVED	sk-doc	0.665424	sk-create-chart
sk-doc	histogram	RESOLVED	sk-doc	0.4636	sk-create-chart
sk-doc	bar chart of	RESOLVED	sk-doc	0.624542	sk-create-chart
sk-doc	line chart of	RESOLVED	sk-doc	0.632585	sk-create-chart
sk-doc	scatter plot of	RESOLVED	sk-doc	0.624542	sk-create-chart
sk-doc	data visualisation	RESOLVED	sk-doc	0.574142	sk-create-chart
sk-doc	data viz	RESOLVED	sk-doc	0.574142	sk-create-chart
sk-doc	heat matrix	RESOLVED	sk-doc	0.56431	sk-create-chart
sk-doc	heat map	RESOLVED	sk-doc	0.56431	sk-create-chart
sk-doc	candlestick chart	RESOLVED	sk-doc	0.574142	sk-create-chart
sk-doc	stacked area chart	RESOLVED	sk-doc	0.717875	sk-create-chart
sk-doc	donut chart	RESOLVED	sk-doc	0.574142	sk-create-chart
sk-doc	waffle chart	RESOLVED	sk-doc	0.574142	sk-create-chart
sk-doc	parallel coordinates	RESOLVED	sk-doc	0.556267	sk-create-chart
sk-doc	chart catalog	RESOLVED	sk-doc	0.665423	sk-create-chart
sk-doc	which chart type	RESOLVED	sk-doc	0.624542	sk-create-chart
sk-doc	chart color system	RESOLVED	sk-doc	0.727408	sk-create-chart
sk-doc	create changelog	RESOLVED	sk-doc	0.674957	sk-create-changelog
sk-doc	retire a repo rule	RESOLVED	sk-doc	0.809157	sk-create-repo-rule
sk-doc	add a project rule	RESOLVED	sk-doc	0.73575	sk-create-repo-rule
sk-doc	create repo rule	RESOLVED	sk-doc	0.8287	sk-create-repo-rule
sk-doc	write a repo rule	RESOLVED	sk-doc	0.828223	sk-create-repo-rule
sk-doc	repo rule	RESOLVED	sk-doc	0.665423	sk-create-repo-rule
sk-doc	add a repo rule	RESOLVED	sk-doc	0.819167	sk-create-repo-rule
sk-doc	create diff report	RESOLVED	sk-doc	0.753327	sk-create-diff
sk-doc	document before after review	WRONG_HUB	sk-code	0.776836	sk-code-review
sk-doc	before after document diff	RESOLVED	sk-doc	0.810587	sk-create-diff
sk-doc	document change report	RESOLVED	sk-doc	0.747786	sk-create-diff
sk-doc	yaml frontmatter	RESOLVED	sk-doc	0.665423	sk-create-frontmatter
sk-doc	frontmatter block	RESOLVED	sk-doc	0.665423	sk-create-frontmatter
sk-doc	frontmatter field	RESOLVED	sk-doc	0.574142	sk-create-frontmatter
sk-doc	description budget	RESOLVED	sk-doc	0.675433	sk-create-frontmatter
sk-doc	4-part version	RESOLVED	sk-doc	0.725833	sk-create-frontmatter
sk-doc	frontmatter versioning	RESOLVED	sk-doc	0.665423	sk-create-frontmatter
sk-doc	frontmatter validation	RESOLVED	sk-doc	0.594162	sk-create-frontmatter
sk-doc	validate document	RESOLVED	sk-doc	0.782113	sk-create-quality-control
sk-doc	score document quality	RESOLVED	sk-doc	0.779582	sk-create-quality-control
sk-doc	optimize documentation	RESOLVED	sk-doc	0.7858	sk-create-quality-control
