hub	signal	bucket	top	score	targets	engine_bucket	engine_targets	served
sk-doc	create skill	DEFERRED	sk-doc	0.632968		ROUTE	sk-create-skill	legacy
sk-doc	create parent skill hub	DEFERRED	sk-doc	0.875792		ROUTE	sk-create-skill-parent	legacy
sk-doc	create readme	DEFERRED	sk-doc	0.865946		ROUTE	sk-create-readme	legacy
sk-doc	write install guide	DEFERRED	sk-doc	0.857744		ROUTE	sk-create-readme	legacy
sk-doc	create agent	WRONG_HUB	create:agent	0.513333		ROUTE	sk-create-agent	legacy
sk-doc	create command	DEFERRED	sk-doc	0.701451		ROUTE	sk-create-command	legacy
sk-doc	create feature catalog	DEFERRED	sk-doc	0.856913		ROUTE	sk-create-feature-catalog	legacy
sk-doc	create manual testing playbook	DEFERRED	sk-doc	0.855189		ROUTE	sk-create-manual-testing-playbook	legacy
sk-doc	promote benchmark folder	DEFERRED	sk-doc	0.756135		ROUTE	sk-create-benchmark	legacy
sk-doc	create ascii flowchart	DEFERRED	sk-doc	0.855847		ROUTE	sk-create-diagram	legacy
sk-doc	create diagram	DEFERRED	sk-doc	0.612013		ROUTE	sk-create-diagram	legacy
sk-doc	html svg diagram	DEFERRED	sk-doc	0.72578		ROUTE	sk-create-diagram	legacy
sk-doc	create a chart	DEFERRED	sk-doc	0.761481		ROUTE	sk-create-chart	legacy
sk-doc	plot the data	DEFERRED	sk-doc	0.666371		ROUTE	sk-create-chart	legacy
sk-doc	data visualization	DEFERRED	sk-doc	0.691501		ROUTE	sk-create-chart	legacy
sk-doc	standalone html chart	DEFERRED	sk-doc	0.743916		ROUTE	sk-create-chart	legacy
sk-doc	waterfall chart	DEFERRED	sk-doc	0.688892		ROUTE	sk-create-chart	legacy
sk-doc	treemap	DEFERRED	sk-doc	0.490499		ROUTE	sk-create-chart	legacy
sk-doc	heatmap	DEFERRED	sk-doc	0.487378		ROUTE	sk-create-chart	legacy
sk-doc	box plot	DEFERRED	sk-doc	0.688719		ROUTE	sk-create-chart	legacy
