order_id,customer_id,return_date,sku,price_usd,return_reason,item_condition,return_count_12mo,customer_ltv_usd,disposition
ORD-070001,CUST-8433,2026-05-05,SKU-TOY-410,499.0,Changed mind,Used-Worn,0,260.51,Refund-Full
ORD-070002,CUST-6946,2026-03-11,SKU-ELE-204,29.99,Defective,Damaged,0,6017.62,Deny
ORD-070003,CUST-3799,2026-04-24,SKU-ELE-204,499.0,Damaged in transit,Damaged,1,421.01,Deny
ORD-070004,CUST-6047,2026-02-06,SKU-ELE-204,49.99,Late delivery,Used-Worn,2,483.57,Replace
ORD-070005,CUST-1200,2026-02-04,SKU-ELE-204,79.99,Wrong item shipped,Used-Worn,0,6517.59,Resell-Open-Box
ORD-070006,CUST-8794,2026-05-26,SKU-APP-001,899.0,Wrong item shipped,Used-Worn,0,5025.89,Resell-Open-Box
ORD-070007,CUST-4401,2026-01-20,SKU-APP-001,79.99,Wrong size,Open-Box,3,2400.05,Refund-Partial
ORD-070008,CUST-5889,2026-01-21,SKU-HOM-340,14.99,Damaged in transit,New-Sealed,0,324.05,Refund-Full
ORD-070009,CUST-3906,2026-01-14,SKU-ELE-204,49.99,Wrong item shipped,Damaged,2,5213.71,Replace
ORD-070010,CUST-2108,2026-01-03,SKU-HOM-330,249.0,Better price elsewhere,Damaged,0,3252.04,Refund-Full
ORD-070011,CUST-9635,2026-03-16,SKU-ELE-204,29.99,Better price elsewhere,Damaged,2,2368.84,Refund-Partial
ORD-070012,CUST-9666,2026-02-20,SKU-APP-001,29.99,Defective,Used-Worn,1,8325.51,Deny
ORD-070013,CUST-9608,2026-05-26,SKU-HOM-330,499.0,Damaged in transit,Open-Box,1,2724.33,Recycle
ORD-070014,CUST-4812,2026-05-16,SKU-BTY-520,899.0,Late delivery,Open-Box,3,7516.96,Refund-Full
ORD-070015,CUST-7793,2026-01-01,SKU-BTY-520,29.99,Better price elsewhere,New-Sealed,2,1801.95,Replace
ORD-070016,CUST-5168,2026-03-18,SKU-ELE-210,14.99,Defective,Used-Like-New,1,5880.64,Replace
ORD-070017,CUST-7488,2026-05-18,SKU-HOM-340,14.99,Wrong size,Open-Box,0,2866.24,Refund-Partial
ORD-070018,CUST-3224,2026-03-27,SKU-HOM-340,899.0,Wrong item shipped,Open-Box,5,6786.8,Deny
ORD-070019,CUST-1917,2026-04-28,SKU-HOM-340,899.0,Late delivery,Damaged,2,3547.9,Deny
ORD-070020,CUST-6793,2026-03-18,SKU-APP-001,79.99,Defective,Open-Box,1,2853.03,Replace
ORD-070021,CUST-2914,2026-01-11,SKU-TOY-410,49.99,Late delivery,Used-Like-New,1,3341.84,Deny
ORD-070022,CUST-8404,2026-01-09,SKU-TOY-410,29.99,Late delivery,Open-Box,1,2058.08,Recycle
ORD-070023,CUST-2517,2026-03-06,SKU-APP-007,249.0,Wrong item shipped,Damaged,2,6622.33,Refund-Full
ORD-070024,CUST-9579,2026-04-17,SKU-ELE-204,79.99,Late delivery,Used-Like-New,0,4135.34,Refund-Partial
ORD-070025,CUST-9558,2026-01-27,SKU-ELE-204,79.99,Defective,New-Sealed,2,3931.66,Replace
ORD-070026,CUST-9529,2026-01-22,SKU-APP-007,249.0,Late delivery,New-Sealed,1,439.88,Recycle
ORD-070027,CUST-9720,2026-03-21,SKU-ELE-210,249.0,Damaged in transit,Used-Worn,0,2471.49,Deny
ORD-070028,CUST-9422,2026-01-09,SKU-ELE-204,49.99,Defective,Open-Box,0,178.92,Recycle
ORD-070029,CUST-5641,2026-03-18,SKU-HOM-340,129.0,Changed mind,Open-Box,0,6001.79,Refund-Full
ORD-070030,CUST-1826,2026-03-20,SKU-HOM-340,899.0,Defective,Used-Worn,0,294.99,Refund-Full
ORD-070031,CUST-8304,2026-01-14,SKU-TOY-410,49.99,Damaged in transit,Used-Like-New,2,7581.28,Replace
ORD-070032,CUST-8672,2026-02-23,SKU-APP-007,899.0,Defective,Used-Worn,1,835.14,Replace
ORD-070033,CUST-5227,2026-04-16,SKU-ELE-210,79.99,Damaged in transit,Used-Worn,0,7618.67,Refund-Partial
ORD-070034,CUST-2849,2026-03-26,SKU-HOM-340,899.0,Damaged in transit,Used-Worn,1,602.34,Resell-Open-Box
ORD-070035,CUST-2752,2026-02-10,SKU-HOM-340,49.99,Damaged in transit,Damaged,1,3478.05,Deny
ORD-070036,CUST-4992,2026-01-26,SKU-HOM-330,899.0,Not as described,Used-Worn,1,3543.58,Resell-Open-Box
ORD-070037,CUST-6606,2026-01-11,SKU-ELE-210,499.0,Changed mind,Open-Box,2,3728.74,Deny
