season,champion,nationality,points,wins
1958,Vanwall,British,48,6
1959,Cooper-Climax,British,40,5
1960,Cooper-Climax,British,48,6
1961,Ferrari,Italian,45,5
1962,BRM,British,42,4
1963,Lotus-Climax,British,54,7
1964,Ferrari,Italian,45,3
1965,Lotus-Climax,British,54,6
1966,Brabham-Repco,British,42,4
1967,Brabham-Repco,British,67,4
1968,Lotus-Ford,British,62,5
1969,Matra-Ford,French,66,6
1970,Team Lotus,British,59,6
1971,Tyrrell,British,73,7
1972,Team Lotus,British,61,5
1973,Team Lotus,British,91,7
1974,McLaren,British,72,4
1975,Ferrari,Italian,72.5,6
1976,Ferrari,Italian,79,6
1977,Ferrari,Italian,84,4
1978,Team Lotus,British,86,8
1979,Ferrari,Italian,113,6
1980,Williams,British,120,6
1981,Williams,British,95,4
1982,Ferrari,Italian,74,3
1983,Ferrari,Italian,89,4
1984,McLaren,British,143.5,12
1985,McLaren,British,90,6
1986,Williams,British,141,9
1987,Williams,British,137,9
1988,McLaren,British,199,15
1989,McLaren,British,141,10
1990,McLaren,British,121,6
1991,McLaren,British,139,8
1992,Williams,British,164,10
1993,Williams,British,168,10
1994,Williams,British,118,7
1995,Benetton,Italian,147,11
1996,Williams,British,175,12
1997,Williams,British,123,8
1998,McLaren,British,156,9
1999,Ferrari,Italian,128,6
2000,Ferrari,Italian,170,10
2001,Ferrari,Italian,179,9
2002,Ferrari,Italian,221,15
2003,Ferrari,Italian,158,8
2004,Ferrari,Italian,262,15
2005,Renault,French,191,8
2006,Renault,French,206,8
2007,Ferrari,Italian,204,9
2008,Ferrari,Italian,172,8
2009,Brawn,British,172,8
2010,Red Bull,Austrian,498,9
2011,Red Bull,Austrian,650,12
2012,Red Bull,Austrian,460,7
2013,Red Bull,Austrian,596,13
2014,Mercedes,German,701,16
2015,Mercedes,German,703,16
2016,Mercedes,German,765,19
2017,Mercedes,German,668,12
2018,Mercedes,German,655,11
2019,Mercedes,German,739,15
2020,Mercedes,German,573,13
2021,Mercedes,German,613.5,9
2022,Red Bull,Austrian,759,17
2023,Red Bull,Austrian,860,21
2024,McLaren,British,666,6
2025,McLaren,British,833,14
