season,champion,nationality,team,points,wins
1950,Nino Farina,Italian,Alfa Romeo,30,3
1951,Juan Fangio,Argentine,Alfa Romeo,31,3
1952,Alberto Ascari,Italian,Ferrari,36,6
1953,Alberto Ascari,Italian,Ferrari,34.5,5
1954,Juan Fangio,Argentine,Mercedes,42,6
1955,Juan Fangio,Argentine,Mercedes,40,4
1956,Juan Fangio,Argentine,Ferrari,30,3
1957,Juan Fangio,Argentine,Maserati,40,4
1958,Mike Hawthorn,British,Ferrari,42,1
1959,Jack Brabham,Australian,Cooper-Climax,31,2
1960,Jack Brabham,Australian,Cooper-Climax,43,5
1961,Phil Hill,American,Ferrari,34,2
1962,Graham Hill,British,BRM,42,4
1963,Jim Clark,British,Lotus-Climax,54,7
1964,John Surtees,British,Ferrari,40,2
1965,Jim Clark,British,Lotus-Climax,54,6
1966,Jack Brabham,Australian,Brabham-Repco,42,4
1967,Denny Hulme,New Zealander,Brabham-Repco,51,2
1968,Graham Hill,British,Lotus-Ford,48,3
1969,Jackie Stewart,British,Matra-Ford,63,6
1970,Jochen Rindt,Austrian,Team Lotus,45,5
1971,Jackie Stewart,British,Tyrrell,62,6
1972,Emerson Fittipaldi,Brazilian,Team Lotus,61,5
1973,Jackie Stewart,British,Tyrrell,71,5
1974,Emerson Fittipaldi,Brazilian,McLaren,55,3
1975,Niki Lauda,Austrian,Ferrari,64.5,5
1976,James Hunt,British,McLaren,66,6
1977,Niki Lauda,Austrian,Ferrari,70,3
1978,Mario Andretti,American,Team Lotus,64,6
1979,Jody Scheckter,South African,Ferrari,51,3
1980,Alan Jones,Australian,Williams,67,5
1981,Nelson Piquet,Brazilian,Brabham,50,3
1982,Keke Rosberg,Finnish,Williams,44,1
1983,Nelson Piquet,Brazilian,Brabham,59,3
1984,Niki Lauda,Austrian,McLaren,72,5
1985,Alain Prost,French,McLaren,73,5
1986,Alain Prost,French,McLaren,72,4
1987,Nelson Piquet,Brazilian,Williams,73,3
1988,Ayrton Senna,Brazilian,McLaren,90,8
1989,Alain Prost,French,McLaren,76,4
1990,Ayrton Senna,Brazilian,McLaren,78,6
1991,Ayrton Senna,Brazilian,McLaren,96,7
1992,Nigel Mansell,British,Williams,108,9
1993,Alain Prost,French,Williams,99,7
1994,Michael Schumacher,German,Benetton,92,8
1995,Michael Schumacher,German,Benetton,102,9
1996,Damon Hill,British,Williams,97,8
1997,Jacques Villeneuve,Canadian,Williams,81,7
1998,Mika Häkkinen,Finnish,McLaren,100,8
1999,Mika Häkkinen,Finnish,McLaren,76,5
2000,Michael Schumacher,German,Ferrari,108,9
2001,Michael Schumacher,German,Ferrari,123,9
2002,Michael Schumacher,German,Ferrari,144,11
2003,Michael Schumacher,German,Ferrari,93,6
2004,Michael Schumacher,German,Ferrari,148,13
2005,Fernando Alonso,Spanish,Renault,133,7
2006,Fernando Alonso,Spanish,Renault,134,7
2007,Kimi Räikkönen,Finnish,Ferrari,110,6
2008,Lewis Hamilton,British,McLaren,98,5
2009,Jenson Button,British,Brawn,95,6
2010,Sebastian Vettel,German,Red Bull,256,5
2011,Sebastian Vettel,German,Red Bull,392,11
2012,Sebastian Vettel,German,Red Bull,281,5
2013,Sebastian Vettel,German,Red Bull,397,13
2014,Lewis Hamilton,British,Mercedes,384,11
2015,Lewis Hamilton,British,Mercedes,381,10
2016,Nico Rosberg,German,Mercedes,385,9
2017,Lewis Hamilton,British,Mercedes,363,9
2018,Lewis Hamilton,British,Mercedes,408,11
2019,Lewis Hamilton,British,Mercedes,413,11
2020,Lewis Hamilton,British,Mercedes,347,11
2021,Max Verstappen,Dutch,Red Bull,395.5,10
2022,Max Verstappen,Dutch,Red Bull,454,15
2023,Max Verstappen,Dutch,Red Bull,575,19
2024,Max Verstappen,Dutch,Red Bull,437,9
2025,Lando Norris,British,McLaren,423,7
