country,year,coal_twh,gas_twh,oil_twh,nuclear_twh,hydro_twh,solar_twh,wind_twh,other_renewables_twh,total_twh,renewables_share_pct,per_capita_kwh
Argentina,1990,0.66,19.85,4.94,7.28,17.71,0.0,0.0,0.13,51.01,35.0,1557.0
Argentina,1991,0.93,20.97,7.62,7.76,15.87,0.0,0.0,0.13,53.85,29.7,1621.0
Argentina,1992,0.83,20.8,7.66,7.08,19.16,0.0,0.0,0.13,56.11,34.4,1665.0
Argentina,1993,1.18,21.99,6.69,7.75,23.77,0.0,0.0,0.1,61.87,38.6,1812.0
Argentina,1994,2.35,22.72,4.56,8.23,27.29,0.0,0.0,0.1,65.62,41.7,1896.0
Argentina,1995,1.91,26.5,4.58,7.07,26.5,0.0,0.0,0.12,67.17,39.6,1915.0
Argentina,1996,1.92,32.55,4.62,7.46,22.47,0.0,0.01,0.22,69.76,32.5,1964.0
Argentina,1997,1.9,32.19,2.04,7.96,27.93,0.0,0.01,0.18,72.46,38.8,2016.0
Argentina,1998,1.81,34.26,3.81,7.45,26.48,0.0,0.03,0.21,74.17,36.0,2039.0
Argentina,1999,2.11,45.73,3.83,7.11,21.4,0.0,0.04,0.26,80.75,26.9,2194.0
Argentina,2000,1.78,48.88,3.14,6.18,28.58,0.0,0.03,0.39,88.98,32.6,2391.0
Argentina,2001,1.36,43.26,1.47,7.06,36.58,0.0,0.05,0.36,90.14,41.0,2396.0
Argentina,2002,0.81,40.71,0.87,5.82,35.78,0.0,0.07,0.53,84.59,43.0,2224.0
Argentina,2003,0.94,47.75,1.05,7.57,33.8,0.0,0.08,0.88,92.07,37.8,2396.0
Argentina,2004,1.68,55.21,4.1,7.87,30.46,0.0,0.07,0.87,100.26,31.3,2583.0
Argentina,2005,2.18,55.7,5.79,6.87,34.22,0.0,0.07,0.92,105.75,33.3,2697.0
Argentina,2006,1.99,56.4,8.18,7.72,38.02,0.0,0.07,1.05,113.43,34.5,2863.0
Argentina,2007,2.34,60.18,11.4,7.25,31.22,0.0,0.06,1.07,113.52,28.5,2837.0
Argentina,2008,1.94,65.41,14.72,7.39,31.2,0.0,0.04,1.21,121.91,26.6,3016.0
Argentina,2009,1.75,61.7,14.84,8.18,34.62,0.0,0.04,1.19,122.32,29.3,2994.0
Argentina,2010,3.01,63.81,17.2,7.21,33.36,0.0,0.03,1.38,126.0,27.6,3052.0
Argentina,2011,2.91,67.86,19.71,6.4,31.19,0.0,0.03,1.39,129.49,25.2,3103.0
