Month,Department,Headcount,Hires,Exits,Attrition Pct
2025-01,Engineering,122,4,0,0
2025-01,Sales,55,1,0,0
2025-01,Marketing,32,0,1,3.1
2025-01,Support,47,1,1,2.1
2025-01,Finance,26,0,0,0
2025-01,People,23,0,0,0
2025-02,Engineering,124,2,0,0
2025-02,Sales,57,2,0,0
2025-02,Marketing,33,1,0,0
2025-02,Support,44,0,3,6.8
2025-02,Finance,27,1,0,0
2025-02,People,24,1,0,0
2025-03,Engineering,125,1,0,0
2025-03,Sales,59,2,0,0
2025-03,Marketing,33,0,0,0
2025-03,Support,43,1,2,4.7
2025-03,Finance,27,0,0,0
2025-03,People,25,1,0,0
2025-04,Engineering,126,1,0,0
2025-04,Sales,65,7,1,1.5
2025-04,Marketing,33,0,0,0
2025-04,Support,46,3,0,0
2025-04,Finance,28,2,1,3.6
2025-04,People,25,1,1,4
2025-05,Engineering,129,3,0,0
2025-05,Sales,64,1,2,3.1
2025-05,Marketing,31,0,2,6.5
2025-05,Support,45,0,1,2.2
2025-05,Finance,29,1,0,0
2025-05,People,25,0,0,0
2025-06,Engineering,131,2,0,0
2025-06,Sales,66,2,0,0
2025-06,Marketing,31,0,0,0
2025-06,Support,45,0,0,0
2025-06,Finance,29,0,0,0
2025-06,People,26,1,0,0
2025-07,Engineering,131,2,2,1.5
2025-07,Sales,64,1,3,4.7
2025-07,Marketing,32,1,0,0
2025-07,Support,48,3,0,0
2025-07,Finance,31,2,0,0
2025-07,People,26,0,0,0
2025-08,Engineering,130,0,1,0.8
2025-08,Sales,64,1,1,1.6
2025-08,Marketing,32,0,0,0
2025-08,Support,47,0,1,2.1
2025-08,Finance,31,1,1,3.2
2025-08,People,26,0,0,0
2025-09,Engineering,132,2,0,0
2025-09,Sales,62,0,2,3.2
2025-09,Marketing,32,0,0,0
2025-09,Support,46,0,1,2.2
2025-09,Finance,32,1,0,0
2025-09,People,26,0,0,0
2025-10,Engineering,135,3,0,0
2025-10,Sales,67,5,0,0
2025-10,Marketing,33,1,0,0
2025-10,Support,45,2,3,6.7
2025-10,Finance,33,2,1,3
2025-10,People,26,0,0,0
2025-11,Engineering,137,3,1,0.7
2025-11,Sales,66,0,1,1.5
2025-11,Marketing,32,0,1,3.1
2025-11,Support,44,0,1,2.3
2025-11,Finance,35,2,0,0
2025-11,People,26,0,0,0
2025-12,Engineering,140,4,1,0.7
2025-12,Sales,69,3,0,0
2025-12,Marketing,34,2,0,0
2025-12,Support,44,1,1,2.3
2025-12,Finance,37,2,0,0
2025-12,People,26,0,0,0
2026-01,Engineering,139,0,1,0.7
2026-01,Sales,71,2,0,0
2026-01,Marketing,34,0,0,0
2026-01,Support,45,1,0,0
2026-01,Finance,37,0,0,0
2026-01,People,26,0,0,0
2026-02,Engineering,134,0,5,3.7
2026-02,Sales,69,0,2,2.9
2026-02,Marketing,35,1,0,0
2026-02,Support,45,0,0,0
2026-02,Finance,38,1,0,0
2026-02,People,25,0,1,4
2026-03,Engineering,133,1,2,1.5
2026-03,Sales,68,0,1,1.5
2026-03,Marketing,36,1,0,0
2026-03,Support,45,0,0,0
2026-03,Finance,38,0,0,0
2026-03,People,25,0,0,0
2026-04,Engineering,134,1,0,0
2026-04,Sales,67,1,2,3
2026-04,Marketing,37,1,0,0
2026-04,Support,45,0,0,0
2026-04,Finance,38,0,0,0
2026-04,People,25,0,0,0
2026-05,Engineering,134,1,1,0.7
2026-05,Sales,68,1,0,0
2026-05,Marketing,37,0,0,0
2026-05,Support,44,0,1,2.3
2026-05,Finance,39,1,0,0
2026-05,People,25,0,0,0
2026-06,Engineering,135,1,0,0
2026-06,Sales,67,1,2,3
2026-06,Marketing,37,1,1,2.7
2026-06,Support,42,0,2,4.8
2026-06,Finance,38,0,1,2.6
2026-06,People,25,0,0,0
