Employee ID,Department,Level,Location,Hire Date,Hire Month,Exit Date,Exit Month,Exit Type,Status,Exited Num,Tenure Months,Gender,Age Band,Salary USD,Performance,Engagement,Work Mode
E-0001,Support,M1,Singapore,2025-04-25,2025-04,2025-08-30,2025-08,Voluntary,Exited,1,4,Non-binary,50+,144888,3,6.1,Hybrid
E-0002,Engineering,IC3,Remote,2022-10-19,2022-10,,,,Active,0,44,Female,40-49,91517,3,8.2,Hybrid
E-0003,Marketing,IC3,Austin,2020-05-20,2020-05,,,,Active,0,73,Non-binary,40-49,117556,3,7.8,Hybrid
E-0004,Finance,M2,Austin,2025-08-23,2025-08,,,,Active,0,10,Non-binary,30-39,173034,3,7.1,Hybrid
E-0005,Sales,IC2,Bengaluru,2020-11-19,2020-11,,,,Active,0,67,Non-binary,40-49,71990,2,7.8,Onsite
E-0006,Engineering,IC1,Remote,2025-06-28,2025-06,,,,Active,0,12,Male,30-39,68041,3,7.1,Onsite
E-0007,Marketing,IC1,Singapore,2021-09-11,2021-09,,,,Active,0,58,Male,30-39,58561,2,7.4,Hybrid
E-0008,Sales,IC4,Bengaluru,2024-12-14,2024-12,,,,Active,0,18,Female,30-39,161679,3,7.7,Onsite
E-0009,Engineering,IC2,Bengaluru,2024-11-19,2024-11,,,,Active,0,19,Male,30-39,87586,2,7.8,Remote
E-0010,Engineering,M1,Bengaluru,2023-01-19,2023-01,,,,Active,0,41,Non-binary,30-39,137125,3,6.8,Onsite
E-0011,Engineering,IC4,Remote,2025-12-26,2025-12,,,,Active,0,6,Male,30-39,125861,3,8.1,Onsite
E-0012,Support,IC5,Singapore,2024-02-16,2024-02,2025-10-21,2025-10,Voluntary,Exited,1,20,Female,20-29,150779,3,5.9,Hybrid
E-0013,Support,IC2,Dublin,2023-02-16,2023-02,,,,Active,0,40,Male,40-49,82788,2,6.8,Onsite
E-0014,Marketing,IC4,Austin,2024-01-10,2024-01,,,,Active,0,30,Female,30-39,152413,2,7,Hybrid
E-0015,Engineering,IC5,Dublin,2021-07-02,2021-07,,,,Active,0,60,Female,20-29,159796,3,7.8,Remote
E-0016,Sales,IC4,Singapore,2025-04-12,2025-04,,,,Active,0,15,Non-binary,20-29,118165,3,7.8,Remote
E-0017,Marketing,IC3,Bengaluru,2020-05-28,2020-05,,,,Active,0,73,Non-binary,20-29,116210,3,8.7,Remote
