season,franchise,games,wins,losses,win_pct,avg_elo,pts_per_game,opp_pts_per_game,playoff_games,playoff_wins
1977,Bucks,82,30,52,36.6,1408.0,108.4,111.5,0,0
1977,Bulls,82,44,38,53.7,1463.0,98.9,98.0,3,1
1977,Cavaliers,82,43,39,52.4,1543.0,102.1,101.0,3,1
1977,Celtics,82,44,38,53.7,1507.0,104.5,106.5,9,5
1977,Clippers,82,30,52,36.6,1441.0,105.0,109.5,0,0
1977,Hawks,82,31,51,37.8,1380.0,102.4,106.4,0,0
1977,Jazz,82,35,47,42.7,1451.0,104.6,107.4,0,0
1977,Kings,82,40,42,48.8,1505.0,107.7,106.8,0,0
1977,Knicks,82,40,42,48.8,1494.0,108.6,108.6,0,0
1977,Lakers,82,53,29,64.6,1554.0,106.9,104.1,11,4
1977,Nets,82,22,60,26.8,1423.0,95.9,102.7,0,0
1977,Nuggets,82,50,32,61.0,1617.0,112.6,107.4,6,2
1977,Pacers,82,36,46,43.9,1480.0,106.8,108.6,0,0
1977,Pistons,82,44,38,53.7,1504.0,109.4,110.4,3,1
1977,Rockets,82,49,33,59.8,1532.0,106.4,104.8,12,6
1977,Sixers,82,50,32,61.0,1571.0,110.2,106.2,19,10
1977,Spurs,82,44,38,53.7,1542.0,115.0,114.4,2,0
1977,Suns,82,34,48,41.5,1502.0,104.9,104.2,0,0
1977,Thunder,82,40,42,48.8,1493.0,104.0,105.5,0,0
1977,Trailblazers,82,49,33,59.8,1557.0,111.7,106.2,19,14
1977,Warriors,82,46,36,56.1,1553.0,110.9,107.7,10,5
1977,Wizards,82,48,34,58.5,1541.0,105.5,104.5,9,4
1978,Bucks,82,44,38,53.7,1485.0,112.4,113.0,9,5
1978,Bulls,82,40,42,48.8,1535.0,103.9,104.8,0,0
1978,Cavaliers,82,43,39,52.4,1502.0,104.4,103.9,2,0
1978,Celtics,82,32,50,39.0,1455.0,105.7,107.7,0,0
1978,Clippers,82,27,55,32.9,1408.0,105.3,109.0,0,0
1978,Hawks,82,41,41,50.0,1478.0,103.7,103.9,2,0
1978,Jazz,82,39,43,47.6,1452.0,107.6,109.5,0,0
1978,Kings,82,31,51,37.8,1462.0,109.5,111.4,0,0
