section	link	raw	into_opencode	resolved	raw_keep_compat	raw_no_compat	dangling	origin	class
claude	.claude/.utcp_config.json	../.utcp_config.json	no	.utcp_config.json	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	no	hand-made root-file link (documented .claude/SYNC.md L28 surface table)	none
claude	.claude/commands/agent-router.md	../../.opencode/commands/agent-router.md	yes	.opencode/commands/agent-router.md	../../.opencode/commands/agent-router.md	../../.skilled/commands/agent-router.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/agent.md	../../../.opencode/commands/create/agent.md	yes	.opencode/commands/create/agent.md	../../../.opencode/commands/create/agent.md	../../../.skilled/commands/create/agent.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/benchmark.md	../../../.opencode/commands/create/benchmark.md	yes	.opencode/commands/create/benchmark.md	../../../.opencode/commands/create/benchmark.md	../../../.skilled/commands/create/benchmark.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/changelog.md	../../../.opencode/commands/create/changelog.md	yes	.opencode/commands/create/changelog.md	../../../.opencode/commands/create/changelog.md	../../../.skilled/commands/create/changelog.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/command.md	../../../.opencode/commands/create/command.md	yes	.opencode/commands/create/command.md	../../../.opencode/commands/create/command.md	../../../.skilled/commands/create/command.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/diff.md	../../../.opencode/commands/create/diff.md	yes	.opencode/commands/create/diff.md	../../../.opencode/commands/create/diff.md	../../../.skilled/commands/create/diff.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/feature-catalog.md	../../../.opencode/commands/create/feature-catalog.md	yes	.opencode/commands/create/feature-catalog.md	../../../.opencode/commands/create/feature-catalog.md	../../../.skilled/commands/create/feature-catalog.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/manual-testing-playbook.md	../../../.opencode/commands/create/manual-testing-playbook.md	yes	.opencode/commands/create/manual-testing-playbook.md	../../../.opencode/commands/create/manual-testing-playbook.md	../../../.skilled/commands/create/manual-testing-playbook.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/readme.md	../../../.opencode/commands/create/readme.md	yes	.opencode/commands/create/readme.md	../../../.opencode/commands/create/readme.md	../../../.skilled/commands/create/readme.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/repo-rule.md	../../../.opencode/commands/create/repo-rule.md	yes	.opencode/commands/create/repo-rule.md	../../../.opencode/commands/create/repo-rule.md	../../../.skilled/commands/create/repo-rule.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/skill-parent.md	../../../.opencode/commands/create/skill-parent.md	yes	.opencode/commands/create/skill-parent.md	../../../.opencode/commands/create/skill-parent.md	../../../.skilled/commands/create/skill-parent.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/skill.md	../../../.opencode/commands/create/skill.md	yes	.opencode/commands/create/skill.md	../../../.opencode/commands/create/skill.md	../../../.skilled/commands/create/skill.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/create/with-human-voice.md	../../../.opencode/commands/create/with-human-voice.md	yes	.opencode/commands/create/with-human-voice.md	../../../.opencode/commands/create/with-human-voice.md	../../../.skilled/commands/create/with-human-voice.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/deep/agent-improvement.md	../../../.opencode/commands/deep/agent-improvement.md	yes	.opencode/commands/deep/agent-improvement.md	../../../.opencode/commands/deep/agent-improvement.md	../../../.skilled/commands/deep/agent-improvement.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/deep/ai-council.md	../../../.opencode/commands/deep/ai-council.md	yes	.opencode/commands/deep/ai-council.md	../../../.opencode/commands/deep/ai-council.md	../../../.skilled/commands/deep/ai-council.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
claude	.claude/commands/deep/model-benchmark.md	../../../.opencode/commands/deep/model-benchmark.md	yes	.opencode/commands/deep/model-benchmark.md	../../../.opencode/commands/deep/model-benchmark.md	../../../.skilled/commands/deep/model-benchmark.md	no	generated: sync-runtime-mirrors.cjs L126-134 (listCommandPaths + toFlatName; 33 filtered per-file mirrors)	regenerate
