path	exists	is_symlink	link_target	opencode_occurrences	names_main_checkout	needed_change	class	class_basis	note
~/.codex/hooks.json	yes	no		18	yes	installed outbound copy of the repo's `.codex/hooks.json` command strings — re-run `install-codex-hooks.mjs` after the registry moves; outside git	manual	swe2 only	
~/.codex/config.toml	yes	no		1	yes	home config naming `.opencode` — update on the machine; outside git	manual	swe2 only	
~/.codex/AGENTS.md	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.codex/AGENTS.md	3	no	link targets `.codex/`/`.pi/` (not `.opencode/`) — unaffected by the move	none	swe2 only	
~/.hermes/config.yaml	yes	no		1	yes	home config naming `.opencode` — update on the machine; outside git	manual	swe2 only	
~/.claude/settings.json	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.claude.json	yes	no		1	yes	home config naming `.opencode` — update on the machine; outside git	manual	swe2 only	
~/.claude/CLAUDE.md	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.zshrc	yes	no		2	no	home config naming `.opencode` — update on the machine; outside git	manual	swe2 only	
~/.zshenv	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.gitconfig	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.config/git/config	no	no				no `.opencode` reference — unaffected	none	swe2 only	
~/.config/devin/config.json	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.config/devin/config.json.bak	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.config/devin/config.json.pre-deepresearch.bak	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.config/devin/mcp_config.json	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.pi/agent/SYNC.md	yes	no		2	no	home config naming `.opencode` — update on the machine; outside git	manual	swe2 only	
~/.pi/agent/auth.json	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.pi/agent/models-store.json	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.pi/agent/models.json	yes	yes	../../MEGA/Development/Code_Environment/Public/.pi/models.json	0	no	link targets `.codex/`/`.pi/` (not `.opencode/`) — unaffected by the move	none	swe2 only	
~/.pi/agent/modes.json	yes	yes	../../MEGA/Development/Code_Environment/Public/.pi/modes.json			link targets `.codex/`/`.pi/` (not `.opencode/`) — unaffected by the move	none	swe2 only	
~/.pi/agent/pi-cache-optimizer-config.json	yes	yes	../../MEGA/Development/Code_Environment/Public/.pi/pi-cache-optimizer-config.json	0	no	link targets `.codex/`/`.pi/` (not `.opencode/`) — unaffected by the move	none	swe2 only	
~/.pi/agent/pi-cache-optimizer-stats.json	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.pi/agent/pi-cache-optimizer-stats.json.32175.1788503687557.tmp	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.pi/agent/pi-crash.log	yes	no		989	yes	historical log — never rewritten	none	rule:log-not-config	crash log content, not configuration
~/.pi/agent/run-history.jsonl	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.pi/agent/settings.json	yes	yes	../../MEGA/Development/Code_Environment/Public/.pi/settings.json	0	no	link targets `.codex/`/`.pi/` (not `.opencode/`) — unaffected by the move	none	swe2 only	
~/.pi/agent/statusline.sh	yes	yes	../../MEGA/Development/Code_Environment/Public/.pi/statusline.sh	0	no	link targets `.codex/`/`.pi/` (not `.opencode/`) — unaffected by the move	none	swe2 only	
~/.pi/agent/sync-pi-configs.sh	yes	no		0	no	no `.opencode` reference — unaffected	none	swe2 only	
~/.pi/agent/trust.json	yes	no		0	yes	no `.opencode` reference — unaffected	none	rule:root-keyed-trust	names the checkout root, not .opencode, so it survives the move
~/.config/git/hooks/commit-msg	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/commit-msg			absolute symlink into the main checkout's `.opencode/scripts/git-hooks/` — reinstall from the moved tree (installer lives inside it) or keep `.opencode` compat; outside git — no commit updates it; dangles machine-wide	blocker	swe2 only	
~/.config/git/hooks/post-commit	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/post-commit			absolute symlink into the main checkout's `.opencode/scripts/git-hooks/` — reinstall from the moved tree (installer lives inside it) or keep `.opencode` compat; outside git — no commit updates it; dangles machine-wide	blocker	swe2 only	
~/.config/git/hooks/post-merge	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/post-merge			absolute symlink into the main checkout's `.opencode/scripts/git-hooks/` — reinstall from the moved tree (installer lives inside it) or keep `.opencode` compat; outside git — no commit updates it; dangles machine-wide	blocker	swe2 only	
~/.config/git/hooks/post-rewrite	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/post-rewrite			absolute symlink into the main checkout's `.opencode/scripts/git-hooks/` — reinstall from the moved tree (installer lives inside it) or keep `.opencode` compat; outside git — no commit updates it; dangles machine-wide	blocker	swe2 only	
~/.config/git/hooks/pre-commit	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/pre-commit			absolute symlink into the main checkout's `.opencode/scripts/git-hooks/` — reinstall from the moved tree (installer lives inside it) or keep `.opencode` compat; outside git — no commit updates it; dangles machine-wide	blocker	swe2 only	
~/.config/git/hooks/pre-push	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/pre-push			absolute symlink into the main checkout's `.opencode/scripts/git-hooks/` — reinstall from the moved tree (installer lives inside it) or keep `.opencode` compat; outside git — no commit updates it; dangles machine-wide	blocker	swe2 only	
~/.config/git/hooks/prepare-commit-msg	yes	yes	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/prepare-commit-msg			absolute symlink into the main checkout's `.opencode/scripts/git-hooks/` — reinstall from the moved tree (installer lives inside it) or keep `.opencode` compat; outside git — no commit updates it; dangles machine-wide	blocker	swe2 only	
