root	link	raw_target	target_kind	resolves_into_opencode	target_names_opencode	dangling	resolved_rel
.claude	.claude/.utcp_config.json	../.utcp_config.json	relative	no	no	no	.utcp_config.json
.claude	.claude/commands/agent-router.md	../../.opencode/commands/agent-router.md	relative	yes	yes	no	.opencode/commands/agent-router.md
.claude	.claude/commands/create/agent.md	../../../.opencode/commands/create/agent.md	relative	yes	yes	no	.opencode/commands/create/agent.md
.claude	.claude/commands/create/benchmark.md	../../../.opencode/commands/create/benchmark.md	relative	yes	yes	no	.opencode/commands/create/benchmark.md
.claude	.claude/commands/create/changelog.md	../../../.opencode/commands/create/changelog.md	relative	yes	yes	no	.opencode/commands/create/changelog.md
.claude	.claude/commands/create/command.md	../../../.opencode/commands/create/command.md	relative	yes	yes	no	.opencode/commands/create/command.md
.claude	.claude/commands/create/diff.md	../../../.opencode/commands/create/diff.md	relative	yes	yes	no	.opencode/commands/create/diff.md
.claude	.claude/commands/create/feature-catalog.md	../../../.opencode/commands/create/feature-catalog.md	relative	yes	yes	no	.opencode/commands/create/feature-catalog.md
.claude	.claude/commands/create/manual-testing-playbook.md	../../../.opencode/commands/create/manual-testing-playbook.md	relative	yes	yes	no	.opencode/commands/create/manual-testing-playbook.md
.claude	.claude/commands/create/readme.md	../../../.opencode/commands/create/readme.md	relative	yes	yes	no	.opencode/commands/create/readme.md
.claude	.claude/commands/create/repo-rule.md	../../../.opencode/commands/create/repo-rule.md	relative	yes	yes	no	.opencode/commands/create/repo-rule.md
.claude	.claude/commands/create/skill-parent.md	../../../.opencode/commands/create/skill-parent.md	relative	yes	yes	no	.opencode/commands/create/skill-parent.md
.claude	.claude/commands/create/skill.md	../../../.opencode/commands/create/skill.md	relative	yes	yes	no	.opencode/commands/create/skill.md
.claude	.claude/commands/create/with-human-voice.md	../../../.opencode/commands/create/with-human-voice.md	relative	yes	yes	no	.opencode/commands/create/with-human-voice.md
.claude	.claude/commands/deep/agent-improvement.md	../../../.opencode/commands/deep/agent-improvement.md	relative	yes	yes	no	.opencode/commands/deep/agent-improvement.md
.claude	.claude/commands/deep/ai-council.md	../../../.opencode/commands/deep/ai-council.md	relative	yes	yes	no	.opencode/commands/deep/ai-council.md
.claude	.claude/commands/deep/model-benchmark.md	../../../.opencode/commands/deep/model-benchmark.md	relative	yes	yes	no	.opencode/commands/deep/model-benchmark.md
.claude	.claude/commands/deep/research.md	../../../.opencode/commands/deep/research.md	relative	yes	yes	no	.opencode/commands/deep/research.md
.claude	.claude/commands/deep/review.md	../../../.opencode/commands/deep/review.md	relative	yes	yes	no	.opencode/commands/deep/review.md
.claude	.claude/commands/design/chart.md	../../../.opencode/commands/design/chart.md	relative	yes	yes	no	.opencode/commands/design/chart.md
.claude	.claude/commands/design/diagram.md	../../../.opencode/commands/design/diagram.md	relative	yes	yes	no	.opencode/commands/design/diagram.md
.claude	.claude/commands/design/extract.md	../../../.opencode/commands/design/extract.md	relative	yes	yes	no	.opencode/commands/design/extract.md
.claude	.claude/commands/doctor/mcp.md	../../../.opencode/commands/doctor/mcp.md	relative	yes	yes	no	.opencode/commands/doctor/mcp.md
.claude	.claude/commands/doctor/speckit.md	../../../.opencode/commands/doctor/speckit.md	relative	yes	yes	no	.opencode/commands/doctor/speckit.md
.claude	.claude/commands/doctor/update.md	../../../.opencode/commands/doctor/update.md	relative	yes	yes	no	.opencode/commands/doctor/update.md
