path	hit_lines	area	subarea	ext	md_fenced_lines	md_inline_lines
.github/dependabot.yml	1	ci	dependabot.yml	yml		
.github/workflows/README.md	1	ci	workflows	md	0	1
.github/workflows/advisory-checks.yml	2	ci	workflows	yml		
.github/workflows/agent-mirror-sync.yml	1	ci	workflows	yml		
.github/workflows/changed-packet-validation.yml	7	ci	workflows	yml		
.github/workflows/chart-corpus.yml	4	ci	workflows	yml		
.github/workflows/command-tree-parity.yml	2	ci	workflows	yml		
.github/workflows/comment-hygiene.yml	2	ci	workflows	yml		
.github/workflows/diagram-corpus.yml	5	ci	workflows	yml		
.github/workflows/dispatch-enforcement-guard.yml	3	ci	workflows	yml		
.github/workflows/markdown-link-integrity.yml	4	ci	workflows	yml		
.github/workflows/naming-standard-guard.yml	3	ci	workflows	yml		
.github/workflows/playbook-operator-contract.yml	8	ci	workflows	yml		
.github/workflows/prompt-card-sync.yml	1	ci	workflows	yml		
.github/workflows/repo-rules-corpus.yml	2	ci	workflows	yml		
.github/workflows/routing-registry-drift.yml	54	ci	workflows	yml		
.github/workflows/rule-canary-sync.yml	1	ci	workflows	yml		
.github/workflows/runtime-no-spec-import.yml	7	ci	workflows	yml		
.github/workflows/skill-doc-frontmatter.yml	3	ci	workflows	yml		
.github/workflows/spec-kit-check.yml	33	ci	workflows	yml		
.github/workflows/strict-pass-freshness-report.yml	6	ci	workflows	yml		
.opencode/agents/README.txt	1	opencode:agents	README.txt	txt		
.opencode/agents/ai-council.md	21	opencode:agents	ai-council.md	md	3	18
.opencode/agents/code.md	14	opencode:agents	code.md	md	0	14
.opencode/agents/context.md	9	opencode:agents	context.md	md	0	9
.opencode/agents/debug.md	6	opencode:agents	debug.md	md	0	6
.opencode/agents/deep-improvement.md	7	opencode:agents	deep-improvement.md	md	0	7
.opencode/agents/deep-research.md	8	opencode:agents	deep-research.md	md	1	7
.opencode/agents/deep-review.md	16	opencode:agents	deep-review.md	md	1	15
.opencode/agents/design.md	14	opencode:agents	design.md	md	0	14
.opencode/agents/markdown.md	24	opencode:agents	markdown.md	md	0	24
.opencode/agents/orchestrate.md	28	opencode:agents	orchestrate.md	md	3	25
.opencode/agents/prompt-improver.md	9	opencode:agents	prompt-improver.md	md	0	9
.opencode/agents/review.md	7	opencode:agents	review.md	md	0	7
.opencode/bin/README.md	32	opencode:bin	README.md	md	15	17
.opencode/bin/check-git-hooks.sh	8	opencode:bin	check-git-hooks.sh	sh		
.opencode/bin/check-no-spec-imports.cjs	9	opencode:bin	check-no-spec-imports.cjs	cjs		
.opencode/bin/compiled-route-guard.cjs	2	opencode:bin	compiled-route-guard.cjs	cjs		
.opencode/bin/compiled-route-status.cjs	2	opencode:bin	compiled-route-status.cjs	cjs		
.opencode/bin/compiled-route-sync.cjs	7	opencode:bin	compiled-route-sync.cjs	cjs		
.opencode/bin/compiled-routing-foundation.vitest.ts	4	opencode:bin	compiled-routing-foundation.vitest.ts	ts		
.opencode/bin/git-live-follow.sh	5	opencode:bin	git-live-follow.sh	sh		
.opencode/bin/git-primary-reconcile.sh	2	opencode:bin	git-primary-reconcile.sh	sh		
.opencode/bin/git-sync.sh	3	opencode:bin	git-sync.sh	sh		
.opencode/bin/hf-model-server.cjs	1	opencode:bin	hf-model-server.cjs	cjs		
.opencode/bin/install-codex-hooks.mjs	4	opencode:bin	install-codex-hooks.mjs	mjs		
.opencode/bin/lib/README.md	4	opencode:bin	lib	md	4	0
.opencode/bin/lib/compiled-route-manifest.cjs	1	opencode:bin	lib	cjs		
