root	kind	name	target	state
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/301-loop-003-filter-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/292-loop-001-settings-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/307-loop-005-group-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/065-anytype-research	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/295-loop-002-properties-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/305-loop-004-sort-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/AI Systems	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored
/Users/michelkerkmeester/worktrees/public/055-skilled-source-root-migration	consumer-link	.opencode	.skilled	sentinel-ok;present;tracked;not-ignored
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin	root-file	AGENTS.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin	root-file	CLAUDE.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves
/Users/michelkerkmeester/MEGA/Development/AI Systems	root-file	.utcp_config.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.utcp_config.json	resolves
/Users/michelkerkmeester/MEGA/Development/AI Systems	root-file	.mcp.json	.claude/mcp.json	resolves
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/.spec-kit/code-graph/database/	missing
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/bin/mk-code-index-launcher.cjs	missing
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/bin/mk-skill-advisor-launcher.cjs	missing
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/bin/mk-spec-memory-launcher.cjs	missing
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/scripts/git-hooks/post-commit	resolves
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills	resolves
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/mcp-code-mode/mcp_server/dist/index.js	missing
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/system-code-graph/mcp_server/database/code-graph.sqlite	missing
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/system-skill-advisor/mcp_server/database	missing
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills/system-skill-advisor/mcp_server/database/skill-graph.sqlite	missing
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	root-file	AGENTS.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	root-file	CLAUDE.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/bin/system-skill-advisor-launcher.cjs	resolves
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/bin/system-spec-memory-launcher.cjs	missing
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/skills/mcp-code-mode/mcp-server/dist/index.js	resolves
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/skills/system-skill-advisor/mcp-server/database	missing
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	owned-path	.mcp.json	.opencode/skills/system-skill-advisor/mcp-server/database/skill-graph.sqlite	missing
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	AGENTS.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	CLAUDE.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/CLAUDE.md	resolves
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	opencode.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/opencode.json	resolves
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	.utcp_config.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.utcp_config.json	resolves
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	root-file	.mcp.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.mcp.json	resolves
